name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,serialid
"""TDRS-7 (Tracking and Data Relay Satellite, TDRS-G)""",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,"",-150.53,"""35,767""","""35,803""",4.27E-04,10.6,1436.04,"""3,180""","""1,600""","""1,800""",1995-07-13,10 yrs.,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 70),1995-035B,23613,"""Tracking and communications with space shuttle, other missions.""",895
"""TDRS-8 (Tracking and Data Relay Satellite, TDRS-H)""",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,"",88.76,"""35,768""","""35,808""",4.74E-04,0.9,1436.2,"""3,180""","""1,600""","""2,300 (EOL)""",2000-06-30,11 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,2000-034A,26388,"""Tracking and communications with space shuttle, other missions; not fully functional.""",896
"""TDRS-9 (Tracking and Data Relay Satellite, TDRS-I)""",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,"",-62.43,"""35,768""","""35,809""",4.86E-04,0.02,1436.11,"""3,180""","""1,600""","""2,300 (EOL)""",2002-03-08,11 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,2002-011A,27389,"""Tracking and communications with space shuttle, other missions. In storage.""",897
TecSAR (Polaris),Israel,Defense Ministry,Military,Reconnaissance,LEO,"",0,405,580,1.28E-02,41.03,94.5,300,260,"",2008-01-21,"",Israel Aerospace Industries (IAI),Israel,Sriharikota Launch Station,PSLV C10,2008-002A,32476,Radar reconnaissance; one meter resolution. Said to carry a Synthetic Aperture Radar (SAR).,898
Telecom 2D ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT) - leased from France Telecom,Commercial,Communications,GEO,"",-7.89,"""35,761""","""35,812""",6.05E-04,2.41,1436.1,"""2,275""","""1,100""","",1996-08-08,10 yrs.,Astrium,France/UK/Germany,Guiana Space Center,Ariane 44L,1996-044B,24209,Television and multimedia services to French-speaking regions of Europe; possible partial French military use of X-band.,899
Telkom 1 ,Indonesia,PT Telkomunikasi,Commercial,Communications,GEO,"",108.01,"""35,778""","""35,796""",2.13E-04,0.02,1436.13,"""2,763""","""1,700 (BOL)""","""4,000""",1999-08-12,15 yrs.,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 44P,1999-042A,25880,TV broadcasting in Indonesia.,900
Telkom 2,Indonesia,PT Telkomunikasi,Commercial,Communications,GEO,"",118.02,"""35,781""","""35,793""",1.42E-04,0.04,1436.1,"""1,930""",899,"",2005-11-16,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2005-046A,28902,"""24 C-band transponders; internet, data, voice and video services to Indonesia.""",901
Telstar 11N,Canada,"""Telesat Canada Ltd. (BCE, Inc.)""",Commercial,Communications,GEO,"",-37.05,"""35,774""","""35,801""",3.20E-04,0.04,1436.13,"""4,010""","","",2009-02-26,15 yrs.,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SLB,2009-009A,34111,"""39 Ku-band transponders; North America, Europe, Africa, across Atlantic.""",902
Telstar 12 (Orion 2),Multinational,Eutelsat -- leased from Loral Skynet Satellite Services (Loral Global Alliance) ,Commercial,Communications,GEO,"",-14.99,"""35,773""","""35,799""",3.08E-04,0.05,1436.09,"""3,878""","""1,900""","""10,600""",1999-10-19,13 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 44LP,1999-059A,25949,"""Voice and video communications to the Americas, Europe, and Africa""",903
Telstar 14R (Estrela do Sul 2),Canada,"""Telesat Canada Ltd. (BCE, Inc.)""",Commercial,Communications,GEO,"",-63,"""35,783""","""35,791""",9.49E-05,0.02,1436.1,"""4,970""","""2,150""","""12,000""",2011-05-20,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,2011-021A,37602,Five communications antennas and 46 Ku-band transponders -- 19 switchable and 27 fixed. Will also serve Brazil. Failed to fully deploy one of its solar panels.,904
Telstar 18 (Apstar 5),Multinational,Loral Skynet Satellite Services (Loral Global Alliance)/APT Satellite Holdings Ltd.,Commercial,Communications,GEO,"",138.04,"""35,778""","""35,795""",2.02E-04,0.01,1436.1,"""4,640""","""2,500""","""16,000 (EOL)""",2004-06-29,13 yrs.,Space Systems/Loral,USA,Sea Launch (Odyssey),Zenit 3SL,2004-024A,28364,54 active transponders; one of the most powerful communications satellites built to date; coverage across East Asia and the Pacific Ocean,905
TerraSAR-Xæ1 (Terra Synthetic Aperture Radar X-Band),Germany,German Aerospace Center (DLR)/Infoterra,Government/Commercial,Remote Sensing,LEO,"",0,500,517,1.24E-03,97.45,94.79,"""1,230""","","",2007-06-15,5 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr,2007-026A,31698,"""X-band radar system; monitor vegetation and crops across the globe, and special emphasis will be placed on keeping tabs on environmental changes. Commercial sale to business and military clients as well.""",906
TerraStar 1,USA,TerraStar Corporation,Commercial,Communications,GEO,"",-111,"""35,783""","""35,791""",9.49E-05,5.94,1436.11,"""6,910""","","",2009-07-01,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2009-035A,35496,Largest commercial satellite ever built; 18-meter-diameter unfurlable S-band antenna; provide mobile voice and data communications in North America to smartphone-size handsets.,907
TES (Technology Experiment Satellite),India,Indian Space Research Organization,Government/Military,Remote Sensing/Reconnaissance,LEO,"",0,552,671,8.52E-03,97.7,96.92,"""1,108""","","",2001-10-22,3 yrs.,ISRO Satellite Center,India,Sriharikota Launch Station,PSLV C3,2001-049A,26957,"""Takes high resolution photos of anything over 3 feet; called prototype for India's """"spy satellite.""""""",908
"""Thaicom-4 (Ipstar 1, Measat 5)""",Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,"",119.5,"""35,775""","""35,798""",2.73E-04,0,1436.1,"""6,505""","","""14,000""",2005-08-11,12 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5G,2005-028A,28786,"""84 Ku-band and 18-Ka band transponders, voice, video and broadband to 14 countries. Deal signed with Measat in 2011 - capacity on Thaicom 4 to be marketed in Malaysia as Measat 5.""",909
Thaicom-5,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,"",78.54,"""35,777""","""35,796""",2.25E-04,0.04,1436.1,"""2,800""","""1,220""","""5,000""",2006-05-27,12 yrs.,Alcatel Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2006-020B,29163,Television and Internet services to the Asia-Pacific region; 25 C-band and 14 Ku-band transponders.,910
THEMIS A (Time History of Events and Macroscale Interactions during Substorms) ,Multinational,"""NASA/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)""",Government/Civil,Space Physics,Elliptical,"",0,461,"""87,304""",8.64E-01,15.7,1868.98,126,77,40,2007-02-17,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004A,30580,Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2.,911
THEMIS D (Time History of Events and Macroscale Interactions during Substorms) ,Multinational,"""NASA/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)""",Government/Civil,Space Physics,Elliptical,"",0,467,"""87,260""",8.64E-01,15.7,1867.91,126,77,40,2007-02-17,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004D,30797,Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2.,912
THEMIS E (Time History of Events and Macroscale Interactions during Substorms) ,Multinational,"""NASA/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)""",Government/Civil,Space Physics,Elliptical,"",0,474,"""87,526""",8.64E-01,15.7,1875.53,126,77,40,2007-02-17,2 yrs.,Swales Aerospace,USA,Cape Canaveral,Delta 2,2007-004E,30798,Five phase mission to study earth's auroras; mission extended to 2012. Themis B and C retasked as Artemis mission to L1 and L2.,913
THEOS (Thailand Earth Observation System),Thailand,Geo-Informatics and Space Technology Development Agency (GISTDA),Government,Earth Observation,LEO,Sun-Synchronous,0,824,826,1.39E-04,98.8,101.4,750,670,840,2008-10-01,5 yrs.,EADS Astrium,France,Dombarovskiy Launch Facility,Dnepr,2008-049A,33396,"""Panchromatic imager with 2M resolution; applications in cartography, land use, agricultural monitoring, forestry management, coastal zone monitoring and flood risk management.""",914
Thor-2,Norway,Telenor Satellite Broadcasting - leased to SES,Commercial,Communications,GEO,"",23.3,"""35,779""","""35,793""",1.66E-04,0.03,1436.09,"""1,400""",646,"""1,400""",1997-05-20,12 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Delta II,1997-025A,24808,"""15 Ku-band; Nordic region, northern Europe. Retired at Telenor in 2007, but leased to SES in 2008. Only two operating transponders.""",915
Thor-3 ,Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,"",-4,"""35,777""","""35,795""",2.13E-04,0.07,1436.07,"""1,400""",646,"""1,400""",1998-06-10,12 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Delta 2,1998-035A,25358,"""14 Ku-band; Nordic region, central and eastern Europe.""",916
Thor-5 (Thor 2R),Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,"",-0.72,"""35,773""","""35,798""",2.97E-04,0.01,1436.1,"""2,024""","","",2008-02-11,15 yrs.,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M,2008-006A,32487,"""25 Ku-band transponders; direct-to-home and Internet to Scandinavia, eastern Europe, Middle East.""",917
Thor-6,Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,"",-1,"""35,779""","""35,794""",1.78E-04,0.02,1436.1,"""3,050""","","""5,900""",2009-10-29,15 yrs.,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2009-058B,36033,36 Ku-band transponders; Central and eastern Europe and Nordic region.,918
Thuraya 2 ,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,GEO,"",44.13,"""35,764""","""35,807""",5.10E-04,2.99,1436.07,"""5,250""","""3,200""","""11,000""",2003-06-10,12 yrs.,Hughes Space and Communications Group,USA,Sea Launch (Odyssey),Zenit 3SL,2003-026A,27825,"""Capacity for 13,750 simultaneous calls; voice, fax, data transmissions from/to mobile telephones; Middle East, North and Central Africa, Europe, Central Asia and the Indian subcontinent.""",919
Thuraya 3,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,GEO,"",98.6,"""35,766""","""35,807""",4.86E-04,5.84,1436.1,"""5,180""","","",2008-01-15,12 yrs.,Boeing Satellite Systems,USA,Sea Launch (Odyssey),Zenit 3SL,2008-001A,32404,"""Mobile phone communication in eastern Asia, Middle East, Australia.""",920
Tian Xun-1 (TX-1),China (PR),   NanjingæUniversityæofæAeronauticsæandæAstronautics,Civil,Technology Development,LEO,"",0,480,490,7.29E-04,97.42,94.3,35,"","",2011-11-09,"",   NanjingæUniversityæofæAeronauticsæandæAstronautics,China (PR),Taiyuan Launch Center,Long March 4B,2011-066A,37874,"""Equipped with a 2.5 kg CCD camera that was built by Suzhou University, sporting a maximum resolution of 30 meters.""",921
Tiangong-1 (TG-1),China (PR),   Beijing Aerospace Flight Control Center,Government,Technology Development,LEO,"",0,329,340,8.20E-04,42.79,91.23,"""8,506""","","",2011-09-29,2 yrs.,"",China (PR),Jiuquan Satellite Launch Center,Long March 2F,2011-053A,37820,First of the three experimental single-module orbital stations (Space Laboratory) to be launched by China between 2011 and 2016 to develop and test a range of techniques required for building a permanently-manned space station.,922
Tianhui-1,China (PR),China Aerospace Science and Technology Corporation (CASTC),Government,Earth Observation,LEO,"",0,487,504,1.24E-03,97.35,94.53,"""2,500""","","",2010-08-24,"",DFHæSatelliteæCo.æLtd.,China (PR),Jiuquan Satellite Launch Center,Long March 2D,2010-040A,36985,"""Mapping  and land resource sruveys to promote economic development; 3-D survey camera, ground resolution of 5m; multi-spectrum at 10m.""",923
"""TianLian 1 (TL-1-01, CTDRS)""",China (PR),Chinese Academy of Space Technology (CAST),Government,Communications,GEO,"",77.08,"""35,769""","""35,813""",5.22E-04,0.06,1436.08,"""3,750""","","",2008-04-25,"",Chinese Academy of Space Technology (CAST),China (PR),Xichang Satellite Launch Center,Long March 3C,2008-019A,32779,"""China's first data relay satellite, will cover Shenzhou missions.Supports near real-time communication.""",924
"""TianLian 2 (TL-1-02, CTDRS)""",China (PR),Chinese Academy of Space Technology (CAST),Government,Communications,GEO,"",176.72,"""37,778""","""37,794""",1.81E-04,1,1436.1,"""2,250""","","",2011-07-11,"",Chinese Academy of Space Technology (CAST),China (PR),Xichang Satellite Launch Center,Long March 3C,2011-032A,37737,Data relay satellite. Will cover Shenzhou missions and China's space station.,925
TIMED (Thermosphere ´ Ionosphere ´ Mesosphere ´ Energetics and Dynamics),USA,"""NASA/Applied Physics Laboratory, Johns Hopkins""",Government/Civil,Astrophysics,LEO,Intermediate,0,626,627,7.15E-05,74,97.24,587,"",406,2001-12-07,2 yrs.,"""Applied Physics Laboratory, Johns Hopkins""",USA,Vandenberg AFB,Delta 2,2001-055B,26998,Study influences of the sun and humans on the least explored and understood region of Earth's atmosphere _ the Mesosphere and Lower Thermosphere/Ionosphere (MLTI).,926
TISat-1 (Ticano Satellite),Switzerland,Scuola Universitaria Professionale della Svizzera Italiana - Dipartimento Tecnologie Innovative ,Civil,Technology Development,LEO,Sun-Synchronous,0,618,640,1.57E-03,98.16,97.29,1,"","",2010-07-12,"",Scuola Universitaria Professionale della Svizzera Italiana - Dipartimento Tecnologie Innovative ,Switzerland,Sriharikota Launch Station,PSLV,2010-035E,36799,Commercial Off the Shelf (COTS) components wherever possible.,927
Topsat,United Kingdom,Ministry of Defence/British National Space Centre,Government,Technology Development/Earth Observation,LEO,Sun-Synchronous,0,682,707,1.77E-03,98.19,98.66,120,"","",2005-10-27,"",QinetiQ/Surrey Satellite Technology Ltd.,United Kingdom,Plesetsk Cosmodrome,Kosmos 3M,2005-043B,28891,"""Low-cost, high resolution images.""",928
TRMM (Tropical Rainfall Measuring Mission),Japan/USA,National Space Development Agency(NASA)/Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,LEO,Intermediate,0,345,347,1.49E-04,34.9,91.45,"""3,820""","",850,1997-11-27,3 yrs.,NASA/Goddard Space Flight Center,USA,Tanegashima Space Center,H2,1997-074A,25063,Joint mission to measure rainfall in tropical areas; to operate through spring of 2005.,929
"""Trumpet 3 (NROL-4, National Reconnaissance Office Launch-4, USA 136)""",USA,National Reconnaissance Office (NRO)/USAF,Military,Electronic Surveillance,Elliptical,Molniya,0,"""1,210""","""38,740""",7.12E-01,64.7,709.61,"""8,000""","","",1997-11-08,"",Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA,1997-068A,25034,Signals intelligence; surveillance of cellular phones.,930
"""Trumpet 4 (NROL-22, National Reconnaissance Office Launch-22, SBIRS HEO-1, Twins A, USA 184)""",USA,National Reconnaissance Office (NRO),Military,Remote Sensing/Reconnaissance,Elliptical,Molniya,0,"""1,111""","""37,564""",7.09E-01,63,684,"""4,000""","","",2006-06-28,"",National Reconnaissance Laboratory,USA,Vandenberg AFB,Delta 4,2006-027A,29249,Speculation on purpose - HEO indicates possible SBIRS-HEO test payload; may also carry NASA's TWINS-A science payload to map the Earth's magnetosphere.,931
"""Trumpet 5 (NROL-28, National Reconnaissance Office Launch-28, SBIRS HEO-2, Twins B, USA 200)""",USA,National Reconnaissance Office (NRO),Military,Remote Sensing/Reconnaissance,Elliptical,Molniya,0,"""1,112""","""37,580""",7.09E-01,63.56,684,"""4,200""","","",2008-03-13,"",National Reconnaissance Laboratory,USA ,Vandenberg AFB,Atlas 5,2008-010A,32706,Reported to be carrying signals intelligence and early warning payloads.,932
Tselina-2 (Cosmos 2428),Russia,Ministry of Defense,Military,Electronic surveillance,LEO,Intermediate,0,850,880,2.07E-03,71,101.96,"""3,200""","","",2007-06-29,"",KB Yuznoye,Ukraine,Baikonur Cosmodrome,Zenit 2M,2007-029A,31792,ELINT; likely the last satellite of this class; to be replaced by Liana system.,933
Turksat 3A,Turkey,Turksat,Commercial,Communications,GEO,"",42.04,"""35,778""","""35,793""",1.78E-04,0.01,1436.06,"""3,100""","""1,272""","""8,100""",2008-06-12,"",Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,2008-030B,33056,24 Ku-band transponders; television service to Turkey.,934
"""UFO-10 (USA 146, UHF F/O F10) """"UHF Follow-On""""""",USA,US Navy,Military,Communications,GEO,"",72.67,"""35,738""","""35,834""",1.14E-03,1.97,1436.1,"""3,200""","""1,540""","""3,800 (EOL)""",1999-11-24,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1999-063A,25967,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,935
"""UFO-11  (USA 174) """"UHF Follow-On""""""",USA,US Navy,Military,Communications,GEO,"",71.44,"""35,786""","""35,787""",1.19E-05,2.16,1436.1,"""3,200""","""1,545""","""2,800 (EOL)""",2003-12-18,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3,2003-057A,28117,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,936
"""UFO-2 (USA 95) """"UHF Follow-On""""""",USA,US Navy,Military,Communications,GEO,"",28.79,"""35,766""","""35,807""",4.86E-04,8.27,1436.12,"""3,200""","""1,545""","""2,800 (EOL)""",1993-09-03,"",Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1993-056A,22787,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application. Inclined.,937
"""UFO-4 (USA 108, UFO F4 EHF) """"UHF Follow-On""""""",USA,US Navy,Military,Communications,GEO,"",-177.12,"""35,763""","""35,775""",1.42E-04,3.34,1435.22,"""3,200""","""1,545""","""2,800 (EOL)""",1995-01-29,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1995-003A,23467,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,938
"""UFO-6 (USA 114, UFO F6 EHF) """"UHF Follow-On""""""",USA,US Navy,Military,Communications,GEO,"",-105.5,"""35,744""","""35,829""",1.01E-03,4.11,1436.12,"""3,200""","""1,545""","""2,800 (EOL)""",1995-10-22,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1995-057A,23696,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,939
"""UFO-7 (USA 127, F7 EHF) """"UHF Follow-On""""""",USA,US Navy,Military,Communications,GEO,"",-21.91,"""35,738""","""35,835""",1.15E-03,3.79,1436.11,"""3,200""","""1,545""","""2,800 (EOL)""",1996-07-25,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1996-042A,23967,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,940
"""UFO-8 (USA 138, UHF F/O F8) """"UHF Follow-On""""""",USA,US Navy,Military,Communications,GEO,"",172.28,"""35,772""","""35,794""",2.61E-04,5.24,1435.94,"""3,206""","""1,545""","""3,800 (EOL)""",1998-03-16,4 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2,1998-016A,25258,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,941
"""UK-DMC-2 (BNSCSat-2, British National Science Center Satellite 2)""",United Kingdom,UK/DMC International Imaging (DMCII),Government,Earth Observation,LEO,Sun-Synchronous,0,624,677,3.77E-03,98.12,97.74,97,"","",2009-07-29,5 yrs.,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Baikonur Cosmodrome,Dnepr,2009-041C,35683,Part of Disaster Monitoring Constellation second generation; five countries share all data.,942
